code,name,industry,current_price,high_lookback,low_lookback,drawdown,drawdown_pct,bounce_from_low,distance_to_resistance,volume_ratio,volume_contracted,is_oversold,meet_all_conditions,scan_date,lookback_period,bounce_trigger_date
000638,,,2.32,6.87,1.72,-0.6622998544395925,66.22998544395925,34.883720930232556,196.12068965517247,92.39275883778643,False,True,True,2026-03-11,120,2026-02-10
688066,,,23.92,49.8,22.49,-0.5196787148594377,51.967871485943775,6.358381502890189,108.19397993311036,84.47455651377632,False,True,True,2026-03-11,120,2025-11-24
603778,,,15.0,27.72,6.39,-0.4588744588744589,45.887445887445885,134.7417840375587,84.8,85.49741635343374,False,True,True,2026-03-11,120,2025-11-12
002731,,,9.37,17.28,8.77,-0.4577546296296297,45.77546296296297,6.841505131128844,84.41835645677698,172.157125374978,False,True,True,2026-03-11,120,2026-02-25
600865,,,12.71,23.1,8.87,-0.4497835497835498,44.97835497835498,43.29199549041716,81.74665617623918,56.593613537135546,True,True,True,2026-03-11,120,2025-11-27
002788,,,15.78,28.29,9.22,-0.44220572640509015,44.22057264050901,71.14967462039044,79.27756653992397,80.35243950132698,False,True,True,2026-03-11,120,2025-12-02
002713,,,10.38,18.6,8.18,-0.44193548387096776,44.193548387096776,26.894865525672383,79.1907514450867,95.05313009148668,False,True,True,2026-03-11,120,2026-01-30
600408,,,3.86,6.9,3.63,-0.4405797101449276,44.05797101449276,6.336088154269973,78.75647668393783,63.31893302501437,True,True,True,2026-03-11,120,2026-02-24
300111,,,4.78,8.38,3.99,-0.42959427207637235,42.95942720763723,19.799498746867165,75.31380753138076,81.22709321237127,False,True,True,2026-03-11,120,2026-01-19
600783,,,23.16,39.44,13.64,-0.41277890466531436,41.27789046653144,69.79472140762462,70.293609671848,98.11847280042005,False,True,True,2026-03-11,120,2025-11-27
000632,,,5.14,8.75,4.8,-0.4125714285714286,41.25714285714286,7.08333333333333,70.23346303501945,34.21460068617941,True,True,True,2026-03-11,120,2026-02-24
002702,,,6.63,11.22,4.96,-0.4090909090909091,40.909090909090914,33.66935483870967,69.23076923076924,56.263863219622834,True,True,True,2026-03-11,120,2025-11-25
600693,,,13.53,22.88,8.26,-0.40865384615384615,40.86538461538461,63.80145278450363,69.10569105691057,54.225495903809716,True,True,True,2026-03-11,120,2025-11-25
600403,,,7.13,12.0,6.34,-0.4058333333333333,40.583333333333336,12.46056782334385,68.30294530154278,108.5819353486781,False,True,True,2026-03-11,120,2026-02-03
300723,,,33.54,56.0,31.7,-0.4010714285714286,40.10714285714286,5.804416403785488,66.96481812760882,70.14265907542573,False,True,True,2026-03-11,120,2026-02-25
688615,,,221.02,368.68,187.0,-0.40050992730823476,40.050992730823474,18.192513368983963,66.8084336259162,99.91437182124523,False,True,True,2026-03-11,120,2025-12-12
301117,,,50.78,84.48,34.7,-0.39891098484848486,39.891098484848484,46.3400576368876,66.36471051595116,47.845806298457404,True,True,True,2026-03-11,120,2025-11-13
000004,,,7.94,13.2,7.56,-0.39848484848484844,39.848484848484844,5.026455026455038,66.24685138539041,108.27717572084103,False,True,True,2026-03-11,120,2026-02-13
301079,,,42.24,70.14,23.62,-0.397775876817793,39.777587681779295,78.83149872988993,66.05113636363636,83.06228117509367,False,True,True,2026-03-11,120,2025-12-04
002682,,,7.21,11.94,5.13,-0.3961474036850921,39.61474036850921,40.5458089668616,65.60332871012481,36.51078208670896,True,True,True,2026-03-11,120,2025-11-28
002175,,,3.27,5.4,3.11,-0.3944444444444445,39.44444444444445,5.144694533762062,65.1376146788991,77.39648592139473,False,True,True,2026-03-11,120,2026-02-24
688523,,,57.43,94.7,24.42,-0.393558606124604,39.355860612460404,135.17608517608514,64.89639561204946,49.809280818756044,True,True,True,2026-03-11,120,2025-11-24
300086,,,9.22,15.19,8.38,-0.3930217248189598,39.30217248189598,10.023866348448685,64.75054229934922,43.05532177808541,True,True,True,2026-03-11,120,2025-11-13
301306,,,104.04,170.05,50.79,-0.3881799470743899,38.81799470743899,104.84347312463085,63.446751249519416,64.1012024543476,True,True,True,2026-03-11,120,2025-11-24
300779,,,99.99,163.0,88.64,-0.3865644171779141,38.65644171779141,12.804602888086636,63.01630163016303,101.99566132355511,False,True,True,2026-03-11,120,2026-01-19
002227,,,10.06,16.36,9.38,-0.3850855745721271,38.50855745721271,7.249466950959485,62.624254473161024,122.67848629366229,False,True,True,2026-03-11,120,2026-02-24
301556,,,103.4,168.0,92.0,-0.3845238095238095,38.45238095238095,12.391304347826093,62.475822050290134,120.53230826435195,False,True,True,2026-03-11,120,2025-12-31
000078,,,3.51,5.7,2.45,-0.38421052631578956,38.42105263157896,43.26530612244896,62.393162393162406,64.10329844027301,True,True,True,2026-03-11,120,2025-11-26
002792,,,45.22,73.35,17.03,-0.3835037491479209,38.35037491479209,165.53141514973572,62.20698805838124,76.42763657001403,False,True,True,2026-03-11,120,2025-11-24
300071,,,6.09,9.85,5.35,-0.3817258883248731,38.17258883248731,13.831775700934584,61.74055829228243,86.48148428205886,False,True,True,2026-03-11,120,2025-12-25
000838,,,2.65,4.28,2.33,-0.3808411214953272,38.084112149532714,13.733905579399133,61.50943396226417,56.01510743357575,True,True,True,2026-03-11,120,2026-02-04
002163,,,15.54,25.03,12.66,-0.3791450259688375,37.91450259688375,22.748815165876767,61.068211068211085,76.10283589727462,False,True,True,2026-03-11,120,2025-12-19
601566,,,11.62,18.68,9.31,-0.37794432548179874,37.79443254817988,24.812030075187955,60.75731497418245,36.86979228363584,True,True,True,2026-03-11,120,2025-11-12
688246,,,24.33,39.0,20.4,-0.37615384615384617,37.61538461538462,19.264705882352942,60.29593094944514,84.50352166950408,False,True,True,2026-03-11,120,2025-12-18
301231,,,38.19,60.83,27.91,-0.3721847772480684,37.218477724806846,36.83267646005015,59.28253469494632,111.08963093137329,False,True,True,2026-03-11,120,2025-12-19
300455,,,26.29,41.5,22.88,-0.36650602409638555,36.65060240963855,14.903846153846157,57.85469760365159,47.40858898526979,True,True,True,2026-03-11,120,2025-11-27
600381,,,3.12,4.92,2.81,-0.36585365853658536,36.58536585365854,11.032028469750891,57.692307692307686,122.76807088216026,False,True,True,2026-03-11,120,2026-02-06
002151,,,42.65,66.9,28.81,-0.36248131539611367,36.248131539611364,48.038875390489416,56.85814771395078,72.25562243484586,False,True,True,2026-03-11,120,2025-11-27
603696,,,18.88,29.57,11.32,-0.36151504903618537,36.15150490361854,66.78445229681978,56.620762711864415,47.82548558426106,True,True,True,2026-03-11,120,2025-11-25
688148,,,8.79,13.76,8.15,-0.3611918604651163,36.11918604651163,7.852760736196304,56.541524459613214,74.6078738889531,False,True,True,2026-03-11,120,2026-02-24
002465,,,17.05,26.62,11.23,-0.359504132231405,35.9504132231405,51.82546749777382,56.12903225806451,120.20876190303846,False,True,True,2026-03-11,120,2025-11-24
300173,,,4.69,7.32,4.16,-0.35928961748633875,35.928961748633874,12.74038461538462,56.076759061833684,64.07329661595836,True,True,True,2026-03-11,120,2026-01-07
002474,,,8.82,13.71,7.46,-0.35667396061269147,35.667396061269145,18.23056300268097,55.442176870748305,38.19819745815415,True,True,True,2026-03-11,120,2025-11-17
688375,,,114.68,178.17,64.8,-0.35634506370320473,35.63450637032047,76.97530864197533,55.362748517614214,96.45334645284677,False,True,True,2026-03-11,120,2025-12-05
600151,,,14.72,22.8,8.3,-0.3543859649122807,35.43859649122807,77.34939759036143,54.891304347826086,57.35818086363713,True,True,True,2026-03-11,120,2025-11-28
300477,,,2.94,4.55,2.55,-0.3538461538461538,35.38461538461538,15.29411764705883,54.76190476190476,71.72919273281758,False,True,True,2026-03-11,120,2026-01-06
603978,,,25.78,39.82,23.85,-0.35258663987945754,35.25866398794575,8.092243186582808,54.46082234290147,64.55413018590869,True,True,True,2026-03-11,120,2026-02-24
000592,,,10.93,16.86,8.13,-0.3517200474495848,35.17200474495848,34.440344403444016,54.254345837145465,75.70874353298827,False,True,True,2026-03-11,120,2025-11-11
300204,,,26.27,40.37,24.88,-0.34926925935100317,34.926925935100314,5.586816720257238,53.67339170156071,83.10976405555799,False,True,True,2026-03-11,120,2026-02-24
300378,,,46.86,71.78,40.11,-0.3471719141822235,34.71719141822235,16.828721017202692,53.17968416559966,94.18066252206621,False,True,True,2026-03-11,120,2025-12-25
300997,,,22.58,34.57,21.5,-0.34683251374023727,34.683251374023726,5.02325581395348,53.10008857395927,66.92320232372295,True,True,True,2026-03-11,120,2026-02-24
301230,,,44.45,67.97,28.9,-0.3460350154479917,34.60350154479917,53.80622837370244,52.913385826771645,141.45372575420598,False,True,True,2026-03-11,120,2026-01-05
300300,,,12.72,19.44,10.7,-0.34567901234567905,34.567901234567906,18.878504672897208,52.83018867924528,65.94442949413052,True,True,True,2026-03-11,120,2025-11-11
600855,,,19.66,30.0,14.43,-0.3446666666666667,34.46666666666667,36.24393624393625,52.5940996948118,44.946509403195506,True,True,True,2026-03-11,120,2025-11-17
000955,,,5.75,8.77,5.45,-0.3443557582668187,34.43557582668187,5.5045871559633,52.521739130434774,44.7947989536576,True,True,True,2026-03-11,120,2026-02-24
603216,,,38.58,58.84,17.27,-0.3443235893949695,34.43235893949695,123.39316734221192,52.514256091239,76.09949209903833,False,True,True,2026-03-11,120,2025-11-20
300253,,,10.55,16.09,7.88,-0.3443132380360472,34.43132380360472,33.883248730964475,52.511848341232216,98.04811157562763,False,True,True,2026-03-11,120,2025-12-17
002565,,,15.42,23.4,6.89,-0.341025641025641,34.102564102564095,123.80261248185778,51.75097276264591,70.90862739613138,False,True,True,2026-03-11,120,2025-11-24
688568,,,65.87,99.95,38.88,-0.3409704852426213,34.09704852426213,69.41872427983539,51.738272354637914,75.60359789086655,False,True,True,2026-03-11,120,2025-11-28
600776,,,17.88,27.09,12.34,-0.3399778516057586,33.99778516057586,44.894651539708256,51.51006711409397,84.29534914870037,False,True,True,2026-03-11,120,2025-11-24
000615,,,3.31,5.01,3.05,-0.3393213572854291,33.93213572854291,8.524590163934434,51.359516616314195,81.01982663407237,False,True,True,2026-03-11,120,2026-02-11
000797,,,3.22,4.87,3.02,-0.3388090349075975,33.88090349075975,6.622516556291397,51.242236024844715,38.52307388437506,True,True,True,2026-03-11,120,2026-02-25
688602,,,8.6,12.99,8.11,-0.33795227097767516,33.795227097767516,6.041923551171396,51.04651162790699,82.49732865091175,False,True,True,2026-03-11,120,2026-02-24
300837,,,45.31,68.42,25.0,-0.3377667348728442,33.77667348728442,81.24000000000001,51.00419333480467,126.72159357207124,False,True,True,2026-03-11,120,2025-12-04
688119,,,6.18,9.33,4.05,-0.33762057877813506,33.762057877813504,52.59259259259259,50.97087378640778,88.24307853457898,False,True,True,2026-03-11,120,2025-12-11
